💞DXWOAIBOX,#genre#
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
经典功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
CHC动作电影,http://125.40.191.58:9901/tsfile/live/1002_1.m3u8#http://59.49.41.44/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1#http://117.148.179.157/PLTV/88888888/224/3221231580/index.m3u8#http://117.148.179.157/PLTV/88888888/224/3221232945/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8#http://117.148.179.138/PLTV/88888888/224/3221231580/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226465/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
CHC家庭影院,http://125.40.191.58:9901/tsfile/live/1001_1.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8#http://117.148.179.157/PLTV/88888888/224/3221232942/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8#http://gxfrg007.8800.org:8282/tsfile/live/1096_1.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240323_1/playlist.m3u8?CONTENTID=00000110240323_1#http://117.148.179.151/PLTV/88888888/224/3221231799/index.m3u8
CHC高清電影,http://gxfrg007.8800.org:8282/tsfile/live/1097_1.m3u8#http://59.49.41.44/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1
翡翠台,http://113.64.147.66:808/hls/67/index.m3u8 
翡翠台,http://113.64.147.72:808/hls/67/index.m3u8 
翡翠台,http://113.64.147.88:808/hls/67/index.m3u8 
翡翠台,http://113.64.147.91:808/hls/67/index.m3u8 
TVB星河,http://113.64.147.46:808/hls/135/index.m3u8 
TVB星河,http://113.64.147.51:808/hls/135/index.m3u8 
TVB星河,http://113.64.147.66:808/hls/135/index.m3u8 
TVB星河,http://113.64.147.72:808/hls/135/index.m3u8 
tvb影视,http://hms563nc1880172786.live.aikan.miguvideo.com/wh7f454c46tw3279865347_1298155843/PLTV/88888888/224/3221231733/1.m3u8 
J2,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8
J2,http://120.84.96.195:808/hls/86/index.m3u8 
J2,http://120.84.96.196:808/hls/86/index.m3u8 
J2,http://120.84.96.221:808/hls/86/index.m3u8 
J2,http://120.84.96.222:808/hls/86/index.m3u8 
香港有線新聞,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
八度空间,http://51.79.82.208:16005
天映频道,http://51.79.82.208:16024
经典再现,http://112.19.214.90:8883/tsfile/live/1009_1.m3u8
高清影院,http://112.19.214.90:8883/tsfile/live/1011_1.m3u8
每日影院,http://beifeng.site:4000/udp/239.3.1.111:8001
幸福剧场,http://beifeng.site:4000/udp/239.3.1.112:8001
幸福娱乐,http://beifeng.site:4000/udp/239.3.1.113:8001
足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8 
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8 
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8 
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8 
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8 
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv1.m3u8 
